model,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc
HS,0.9676512417961476,0.32526665175122027,46.88705000863979,7.51976259039111e-12,47.85470125043594,4.0596082051536087e-11
FHS,0.0022623606434990506,0.9620635009633425,11.962321191597084,0.0005428719990975273,11.964583552240583,0.002523037424448593
MC_GARCH_T,1.3640576900868382,0.24283548454196924,11.154212251172112,0.0008384108460000039,12.51826994125895,0.0019128997956567861
